MD,Incl,Azim,NS,EW,TVD
m,deg,deg,m,m,m
3032.69,53.96,229.47,-1730.84,-517.26,2035.91
3060,52.46,229.06,-1745.11,-533.84,2052.26
3087.39,51.42,228.9,-1759.26,-550.11,2069.15
3114.85,50.2,228.4,-1773.32,-566.08,2086.5
3142.37,48.71,227.94,-1787.27,-581.67,2104.39
3169.82,47.04,228.43,-1800.84,-596.84,2122.8
3197.22,44.95,229.31,-1813.81,-611.68,2141.83
3212.63,45.3,229.3,-1820.93,-619.96,2152.71
3224.48,44.54,229.36,-1826.38,-626.31,2161.1
3251.76,44.71,229.69,-1838.82,-640.88,2180.51
3279.48,43.47,229.58,-1851.31,-655.58,2200.42
3306.83,41.04,230,-1863.19,-669.62,2220.67
3334.46,38.8,230.14,-1874.57,-683.22,2241.85
3361.98,36.75,229.67,-1885.42,-696.11,2263.61
3389.48,34.82,229.75,-1895.82,-708.38,2285.91
3416.97,33.45,229.42,-1905.82,-720.12,2308.67
3444.55,31.46,228.78,-1915.51,-731.31,2331.94
3471.16,30.43,228.4,-1924.56,-741.57,2354.76
3491,29.8,228.2,-1931.18,-749.01,2371.92
